name,slug,manufacturer,price,availability,images
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH 0-2 YEARS -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-0-2-years--1-pc-extra-soft-192078,COLGATE,28.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611612-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH BARBIE -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-barbie--1-pc-extra-soft-192056,COLGATE,71.10,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611607-1.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-MEDIUM BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-medium-bristles-saver-pack-191905,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12652-front.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-SOFT BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-soft-bristles-saver-pack-192061,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611893-1.jpg
COLGATE TOOTHPASTE - ACTIVE SALT-300 G-SAVER PACK,colgate-toothpaste---active-salt-300-g-saver-pack-191896,COLGATE,125.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1600906-1.jpg
COLGATE TOOTHPASTE - CIBACA - 175 G - ANTI-CAVITY,colgate-toothpaste---cibaca---175-g---anti-cavity-192060,COLGATE,52.25,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12805-front.jpg
COLGATE TOOTHPASTE - KIDS BARBIE - STRAWBERRY FLAVOR - 80 G -CHILDREN,colgate-toothpaste---kids-barbie---strawberry-flavor---80-g--children-192062,COLGATE,77.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602265-1.jpg
2BACONIL - 14MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 2,2baconil---14mg-nicotine-patch-for-quit-smoking-tobacco---step-2-106054,Rusan Healthcare,565.25,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot14.jpg
2BACONIL - 21MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 1,2baconil---21mg-nicotine-patch-for-quit-smoking-tobacco---step-1-23688,Rusan Healthcare,714.00,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot21.jpg
2BACONIL - 7MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 3,2baconil---7mg-nicotine-patch-for-quit-smoking-tobacco---step-3-106053,Rusan Healthcare,505.75,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot7.jpg
