type,price,address,description,bedrooms,bathrooms,agency_name,agency_link,image_url
Apartment,"6,000  QAR / MONTH",Umm Ghwailina,2-BHK Fully Furnished Apartment Near Toyota Signal,2,3,OUTLINE ENTERPRISES,https://www.qatarliving.com/user/outline-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/11/04/96155AD8-1B00-48A7-9364-970A43CEF81D.jpeg?itok=160K8sws
Apartment,"7,500  QAR / MONTH",Old Al Ghanim,2 bhk with balcony. 2 year's 4 months free,2,3,OUTLINE ENTERPRISES,https://www.qatarliving.com/user/outline-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/11/18/20191118_085125.jpg?itok=g9sHxlix
Apartment,"3,500  QAR / MONTH",Fereej Abdel Aziz,1-BHK Fully Furnished in Fereej Abdul Aziz,1,1,OUTLINE ENTERPRISES,https://www.qatarliving.com/user/outline-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/12/01/72F2529D-F7E4-4AB5-A358-795F6F05E70F.jpeg?itok=LnjNTu4o
Apartment,"5,200  QAR / MONTH",Al Sadd,2 Bedroom 1 Bathroom FF apartment for rent - Alsadd Area,2,1,tgi.com.qa,https://www.qatarliving.com/user/tgicomqa,https://files.qatarliving.com/styles/555x415/s3/2018/05/01/IMG_2689.JPG?itok=1lD8cdMQ
Apartment,"8,000  QAR / MONTH",Al Sadd,Amazing 2 BR Furnished + 1 time cleaning free,2,2,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/04/11/WhatsApp-Image-2019-04-09-at-11.38.21-AM.jpg?itok=6FRuFngY
Apartment,"6,500  QAR / MONTH",Fereej Bin Mahmoud,BEAUTIFUL APARTMENT 2 BEDROOMS FURNISHED APARTMENT + ONE MONTH FREE ,2,3,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/03/3f2582b3-668f-49d4-89a7-a57b31752a8e.jpg?itok=MZLcnPAr
Apartment,"4,100  QAR / MONTH",Al Doha Al Jadeeda,Amazing 1 BHK Apartment Fully furnished Along B-ring Road,1,1,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/03/43747227-a785-45e9-9683-fb4e2ea683ee.jpg?itok=2sFcS61h
Apartment,"4,300  QAR / MONTH",Al Nasr,Cozy 2 BHK Apartment at Al naser Near Downtown Hotel ,2,2,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/13/b15b1dfc-2008-4a6c-aa69-702c364e550d.jpg?itok=UZ5ubPJu
Apartment,"4,500  QAR / MONTH",Najma,Limited Offer 1 BHK furnished - NO Comission,1,2,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/07/31/753100b3-4e52-487f-868f-e5e29e42b710_0.jpg?itok=uzi93jM7
Apartment,"6,500  QAR / MONTH",Al Doha Al Jadeeda,Affordable furnished 2 BHK with Facilities and all inclusive,2,2,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/12/29/0cf9d9c7-bd05-4d6a-9d06-b5dceaa28c35.jpg?itok=wJg98VdY
Apartment,"5,000  QAR / MONTH",Fereej Bin Mahmoud,Affordable Fully furnished 2 BHK at Binmahmoud area,2,2,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/06/a3217d2a-172a-45ec-92b9-6f94158851cd.jpg?itok=RdodB2ge
Apartment,"10,500  QAR / MONTH",The Pearl Qatar,Spacious 2 BHK Apartment At luxurios tower Porto arabia,2,3,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/25/3ca5e65e-be68-4b25-a095-a477fa92148c.jpg?itok=GszKqJ4p
Apartment,"9,500  QAR / MONTH",Abu Hamour,Abu Hamour Semi Furnished 3 Bedroom Compound Apartment,3,3,LINK TRADING REAL ESTATE,https://www.qatarliving.com/user/link-trading-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/01/20150729_164759.jpg?itok=gwA0e-lC
Apartment,"130,000  QAR / MONTH",Najma,One Deal! Spacious 24 Units 3Bhk Flats In Najma,3,2,Steps Real Estate.,https://www.qatarliving.com/user/steps-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/22/1_1.jpeg?itok=qeI6z8iU
Apartment,"4,000  QAR / MONTH",Fereej Abdel Aziz,One Month Free 1 bedroom furnished flats in Fereej Abdel Aziz,1,1,ZealProperties,https://www.qatarliving.com/user/zealproperties,https://files.qatarliving.com/styles/555x415/s3/2018/11/05/Property_64444972.jpg?itok=A6dZMYt0
Apartment,"5,500  QAR / MONTH",Fereej Bin Mahmoud,Ramadan Promotion Two bedroom furnished units in Bin Mahmoud,2,2,ZealProperties,https://www.qatarliving.com/user/zealproperties,https://files.qatarliving.com/styles/555x415/s3/2019/01/20/WhatsApp-Image-2019-01-20-at-12.16.44.jpeg?itok=SxLdML0N
Apartment,"4,500  QAR / MONTH",Ain Khaled,First Month Free Beautiful Furnished 1Bedroom Near Mega Mart (Ein Khaled),1,1,ZealProperties,https://www.qatarliving.com/user/zealproperties,https://files.qatarliving.com/styles/555x415/s3/2019/07/16/2131Untitled-9.jpg?itok=GuLI-oCX
Apartment,"6,000  QAR / MONTH",Fereej Bin Mahmoud,Fully Furnished Apartment for rent in Bin Mahmoud Area,3,3,Bin Al Sheikh,https://www.qatarliving.com/user/bin-al-sheikh,https://files.qatarliving.com/styles/555x415/s3/2020/02/18/WhatsApp-Image-2020-02-18-at-12.33.06-PM-1.jpeg?itok=YVN6RG-U
Apartment,"5,000  QAR / MONTH",Old Airport,Fully Furnished Apartment For Rent in Old Airport Area,2,2,Bin Al Sheikh,https://www.qatarliving.com/user/bin-al-sheikh,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/27/3667720171130164255-Large.jpeg?itok=Y2g_JfJU
Apartment,"5,000  QAR / MONTH",Mushaireb,Large 2 BHK apartment + 2 Months Free,2,2,Bin Al Sheikh,https://www.qatarliving.com/user/bin-al-sheikh,https://files.qatarliving.com/styles/555x415/s3/2020/02/18/WhatsApp-Image-2020-02-12-at-10.56.00-AM.jpeg?itok=7F1qZbw-
Apartment,"5,000  QAR / MONTH",Al Mansoura / Fereej Bin Dirham,Flats 2Bhk-FF & Unfurnished for Rent in Al Mansoura Area,2,2,Bin Al Sheikh,https://www.qatarliving.com/user/bin-al-sheikh,https://files.qatarliving.com/styles/555x415/s3/2018/12/01/2_9.jpg?itok=p6lSGNAk
Apartment,"3,500  QAR / MONTH",Umm Ghwailina,1 BHK APARTMENT AT UMMUGHALINA,1,1,raireal,https://www.qatarliving.com/user/raireal,https://files.qatarliving.com/styles/555x415/s3/2019/02/17/mugal2.jpg?itok=G4A6jZcJ
Apartment,"3,300  QAR / MONTH",Al Doha Al Jadeeda,EXECUTIVE BACHLOR ONE BHK AT DOHA JADEED,1,1,Innospot,https://www.qatarliving.com/user/innospot,https://files.qatarliving.com/styles/555x415/s3/2020/02/07/9b50e231-070f-4845-8538-fef5af158359.jpg?itok=IqJopOTL
Apartment,"6,000  QAR / MONTH",Old Airport,3BHK Apartment - Including E/W bill and Internet/Wifi,3,2,vtrishab,https://www.qatarliving.com/user/vtrishab,https://files.qatarliving.com/styles/555x415/s3/2020/04/23/building-pic.jpg?itok=SPQsUAJ9
Apartment,"3,000  QAR / MONTH",Fereej Abdel Aziz,[NO COMMISSION] Studio Flat For Rent in Fereej Abdul Aziz (Near Fereej Abdul Aziz Health C,Studio,1,Economic Group Real Estate,https://www.qatarliving.com/user/economic-group-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/09/12/01.jpg?itok=PeXlcY2P
Apartment,"5,000  QAR / MONTH",Al Khartiyat,[NO COMMISSION] 2 BHK Flat For Rent in Al Kharaitiyat PLUS 1 MONTH FREE,2,2,Economic Group Real Estate,https://www.qatarliving.com/user/economic-group-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/11/24/002.jpeg?itok=VFkej63t
Apartment,"5,500  QAR / MONTH",Al Khartiyat,[NO COMMISSION] 3 BHK Flat For Rent in Al Kharaitiyat PLUS 1 MONTH FREE,3,3,Economic Group Real Estate,https://www.qatarliving.com/user/economic-group-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/11/24/001_0.jpg?itok=HPKdgE0r
Apartment,"4,000  QAR / MONTH",Madinat Khalifa South,[NO COMMISSION] 2 BHK Flat For Rent in Madinat Khalifa (Near Doha Expressway),2,2,Economic Group Real Estate,https://www.qatarliving.com/user/economic-group-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/12/01_1.jpg?itok=rZ_F-4o9
Apartment,"4,500  QAR / MONTH",Al Khor,2 BHK FULLY FURNISHED IN ALKHOR,2,2,centurydoha,https://www.qatarliving.com/user/centurydoha,https://files.qatarliving.com/styles/555x415/s3/2020/03/21/IMG_1269.jpg?itok=uA2DktGK
Apartment,"5,500  QAR / MONTH",Al Khor,2 BEDROOM APARTMENT ALKHOR QNB,2,2,centurydoha,https://www.qatarliving.com/user/centurydoha,https://files.qatarliving.com/styles/555x415/s3/2019/07/01/FKhmWOjjfVKeP7UZ-1.jpeg?itok=UiSJoLin
Apartment,"4,000  QAR / MONTH",Al Hilal,FULLY FURNISHED STUDIO APARTMENT ! ALL INCLUSIVE (C-RING),Studio,1,Homes2Rent,https://www.qatarliving.com/user/homes2rent-1,https://files.qatarliving.com/styles/555x415/s3/2019/12/03/8_26.jpg?itok=atsYLw9j
Apartment,"4,000  QAR / MONTH",Ain Khaled,1BHK FF APARTMENT IN AIN KHALID ! ALL INCLUSIVE (AIN KHALED COURT),1,1,Homes2Rent,https://www.qatarliving.com/user/homes2rent-1,https://files.qatarliving.com/styles/555x415/s3/2019/12/04/4_13.jpg?itok=muxiyjEw
Apartment,"3,500  QAR / MONTH",Umm Ghwailina,ONE BHK FULLY FURNISHED FLAT,1,1,Pleiades Real Estate,https://www.qatarliving.com/user/pleiades-real-estate-0,https://files.qatarliving.com/styles/555x415/s3/2020/04/16/WhatsApp-Image-2019-12-19-at-11.59.59-2.jpeg?itok=fUqJy1xu
