title,url,pages,year,size,downloads,description,thumbnail
The Girl in Room 105,https://www.pdfdrive.com/the-girl-in-room-105-e185888634.html,285 Pages,2018,1.29 MB,"1,248 Downloads","·New! Hi, I’m Keshav, and my life is screwed. I hate my job and my girlfriend left me. Ah, the beautiful  ...",https://s.pdfdrive.com/assets/thumbs/4c4/4c482d94a39998513b12f79d8de19fb6-s.jpg
Half Girlfriend,https://www.pdfdrive.com/half-girlfriend-e107097257.html,127 Pages,2017,1.78 MB,"1,639 Downloads",·Hindi·New! चेतन भगत ने छह बे टसे लंग कताब िलखी ह। इनमपाँच  ...,https://s.pdfdrive.com/assets/thumbs/30a/30af066232e81ef90062641049ecea0c-s.jpg
Revolution Twenty20,https://www.pdfdrive.com/revolution-twenty20-e101124675.html,189 Pages,2017,2.77 MB,767 Downloads,"·Hindi·New! माय लाइफ (2008), 2 टेट्स : द टोरी ऑफ माय मै रज (2009) और रे  ...",https://s.pdfdrive.com/assets/thumbs/246/24614f3cea49e3b5b04089007c47bf6b-s.jpg
One Indian Girl,https://www.pdfdrive.com/one-indian-girl-e196502083.html,276 Pages,2016,1.09 MB,652 Downloads,"·New! likeable, do they? About the author Chetan Bhagat is the author of eight blockbuster books. These include  ...",https://s.pdfdrive.com/assets/thumbs/b8c/b8c443f20d32d247af7305b5bd2e67d8-s.jpg
"Steels: Metallurgy and Applications, Third Edition",https://www.pdfdrive.com/steels-metallurgy-and-applications-third-edition-e161897030.html,,1998,19.53 MB,"55,384 Downloads",·New! STEELS provides a metallurgical understanding of commercial steel grades and the design  ...,https://s.pdfdrive.com/assets/thumbs/e64/e6433d5962cc36c9a9b499135a877213-s.jpg
One Indian Girl,https://www.pdfdrive.com/one-indian-girl-e100787177.html,222 Pages,2016,1.35 MB,530 Downloads,"·New! Chetan Bhagat is the author of six bestselling novels—Five Point Someone (2004), One Half One I  ...",https://s.pdfdrive.com/assets/thumbs/c70/c70ecadea313cce9bde0f1049aee8074-s.jpg
What Young India Wants: Selected Non-Fiction,https://www.pdfdrive.com/what-young-india-wants-selected-non-fiction-e184449483.html,106 Pages,2012,13.45 MB,497 Downloads,"·New! In his latest book, What Young India Wants, Chetan Bhagat asks hard questions, demands answers  ...",https://s.pdfdrive.com/assets/thumbs/e5b/e5b5ab29a0faed3c42aa2d8729e58524-s.jpg
One Indian Girl by Chetan Bhagat,https://www.pdfdrive.com/one-indian-girl-by-chetan-bhagat-e61451868.html,232 Pages,2012,1.12 MB,342 Downloads,One_Indian_Girl_by_Chetan_Bhagat.pdf  ...,https://s.pdfdrive.com/assets/thumbs/788/7882c006f69a0b8bf52a0668edc90368-s.jpg
The 3 (Three) Mistakes of My Life,https://www.pdfdrive.com/the-3-three-mistakes-of-my-life-e185595054.html,144 Pages,2008,1.49 MB,457 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/1ee/1eebf6fd7ae140ef89c3293ded8a7693-s.jpg
"Data Structures, Algorithms And Applications In C++",https://www.pdfdrive.com/data-structures-algorithms-and-applications-in-c-e30675196.html,826 Pages,2009,28.06 MB,"55,089 Downloads","The study of data structures and algorithms is fundamental to computer into this course have had Data Structures, Algo  ...",https://s.pdfdrive.com/assets/thumbs/178/178cbd68e6239d25b8b31929f21e822f-s.jpg
Japanese folk songs,https://www.pdfdrive.com/japanese-folk-songs-e184451506.html,104 Pages,1967,24.47 MB,"3,276 Downloads",·Norwegian·New!  ...,https://s.pdfdrive.com/assets/thumbs/8fe/8fe1541a6fd8faf6e9424c9be1147aab-s.jpg
Bhagavad-Gita As It Is,https://www.pdfdrive.com/bhagavad-gita-as-it-is-e7927539.html,"1,029 Pages",2002,3.97 MB,"49,358 Downloads",Originally I wrote Bhagavad-gétä As It Is in the form in which it is presented now. When this book Bhagavad-Gita As It  ...,https://s.pdfdrive.com/assets/thumbs/6a1/6a13d23e0123fe447d6f6299036ef9ad-s.jpg
Half Girlfriend,https://www.pdfdrive.com/half-girlfriend-e48166485.html,285 Pages,2014,1.72 MB,437 Downloads,of Indian publishing. - The Times of India. Bhagat has  Half Girlfriend  ...,https://s.pdfdrive.com/assets/thumbs/59b/59b5e7a765bdd564d41f2cf5fa4d2821-s.jpg
Chetan Bhagat - 2 States The Story of My Marriage (1),https://www.pdfdrive.com/chetan-bhagat-2-states-the-story-of-my-marriage-1-e187239830.html,322 Pages,2012,839 KB,38 Downloads,·New! Chetan_Bhagat_-_2_States_The_Story_of_My_Marriage_(1).pdf 2 States The Story Of My Marriage Chetan 2 States The  ...,https://s.pdfdrive.com/assets/thumbs/328/32864a91a0f89c87ec641d2fff84ba9b-s.jpg
download in pdf for free!,https://www.pdfdrive.com/download-in-pdf-for-free-e41733315.html,221 Pages,2016,1.1 MB,341 Downloads,"mother Rekha Bhagat, the first woman in my life. One Indian Girl  ...",https://s.pdfdrive.com/assets/thumbs/8a5/8a57c753baaf6237c1b14d657750fc59-s.jpg
How To Love Like a Hot Chick: The Girlfriend to Girlfriend Guide to Getting the Love You Deserve,https://www.pdfdrive.com/how-to-love-like-a-hot-chick-the-girlfriend-to-girlfriend-guide-to-getting-the-love-you-deserve-e162128884.html,251 Pages,2008,4.02 MB,549 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/fc7/fc7792f23fcf351279cb2a27d2d78794-s.jpg
Five Point Someone,https://www.pdfdrive.com/five-point-someone-e187928511.html,153 Pages,2016,9.65 MB,108 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/1a4/1a44228faad37238ee24a3489fa75257-s.jpg
Introductory methods of numerical analysis,https://www.pdfdrive.com/introductory-methods-of-numerical-analysis-e24288282.html,455 Pages,2011,9.99 MB,"34,975 Downloads",Introductory methods of numerical analysis  ...,https://s.pdfdrive.com/assets/thumbs/b01/b0195d22fa9de7989fbbdd997cf0643f-s.jpg
One Indian Girl,https://www.pdfdrive.com/one-indian-girl-e48026831.html,221 Pages,2016,1.1 MB,173 Downloads,"ONE. INDIAN. GIRL. Chetan Bhagat is the author of six bestselling Call Center (2005), The 3 One Indian G  ...",https://s.pdfdrive.com/assets/thumbs/abf/abf9cd77893bc63b22e6ec1f58533c11-s.jpg
Half of a Yellow Sun,https://www.pdfdrive.com/half-of-a-yellow-sun-e191495263.html,410 Pages,2006,1.79 MB,"9,553 Downloads",·New! From Publishers WeeklyStarred Review. When the Igbo people of eastern Nigeria seceded in 1967  ...,https://s.pdfdrive.com/assets/thumbs/7ad/7ad60948be79fea5368baccefeea7e44-s.jpg
The Big Book of Weekend Woodworking - Wood Tools,https://www.pdfdrive.com/the-big-book-of-weekend-woodworking-wood-tools-e12932213.html,452 Pages,2010,18.59 MB,"30,932 Downloads",·Dutch Page 1. Page 2. Page 3. Page 4. Page 5. Page 6. Page 7. Page 8. Page 9. Page10. Page 11. Page 12 The Big Book of Weeke  ...,https://s.pdfdrive.com/assets/thumbs/a4a/a4ac347cde6bee166141cea7d5361dd3-s.jpg
Bhagat Singhs writings in Hindi,https://www.pdfdrive.com/bhagat-singhs-writings-in-hindi-e187850111.html,788 Pages,2016,6.32 MB,"1,839 Downloads",·Tagalog·New!  ...,https://s.pdfdrive.com/assets/thumbs/8cf/8cf5956793767a3e37d1e6878994b869-s.jpg
Revolution 2020,https://www.pdfdrive.com/revolution-2020-e186541293.html,302 Pages,2008,58.48 MB,73 Downloads,·Finnish·New!  ...,https://s.pdfdrive.com/assets/thumbs/069/069da7b3f7f38ba2233380ec1206499d-s.jpg
The Girl in Room 105,https://www.pdfdrive.com/the-girl-in-room-105-e189814234.html,285 Pages,2018,1.36 MB,71 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/764/7646c57a0d4632168e90812bb76b35f7-s.jpg
Hacking For Beginners.pdf,https://www.pdfdrive.com/hacking-for-beginnerspdf-e38375455.html,255 Pages,2011,11.45 MB,"29,139 Downloads",“Hacking for Beginners” is a book related to Computer Security and not a “Hacking for Beginners Basics of Ethica  ...,https://s.pdfdrive.com/assets/thumbs/f5c/f5cc94ac939d51adce8b9e4d73bc7e79-s.jpg
"JavaScript: JavaScript For Beginners - Learn JavaScript Programming with ease in HALF THE TIME - Everything about the Language, Coding, Programming and Web Pages You need to know",https://www.pdfdrive.com/javascript-javascript-for-beginners-learn-javascript-programming-with-ease-in-half-the-time-everything-about-the-language-coding-programming-and-web-pages-you-need-to-know-e158299863.html,115 Pages,2017,578 KB,"56,006 Downloads",·New!  ...,https://s.pdfdrive.com/assets/thumbs/28a/28af716d5125df62215719b121524ebd-s.jpg
What Young India Wants: Selected Non-Fiction,https://www.pdfdrive.com/what-young-india-wants-selected-non-fiction-e196370595.html,129 Pages,2012,780 KB,334 Downloads,"·New! In his latest book, What Young India Wants, Chetan Bhagat asks hard questions, demands answers  ...",https://s.pdfdrive.com/assets/thumbs/4cc/4cccd7c2552489373950f491fed8a225-s.jpg
Balaguruswamy OOP with C++,https://www.pdfdrive.com/balaguruswamy-oop-with-c-e26350490.html,656 Pages,2009,20.75 MB,"150,596 Downloads","Programming in Java, 3'e. Programming in ANSI C, 4/e. Programming in BASIC, 3'e. Numerical Methods Object Oriented Prog  ...",https://s.pdfdrive.com/assets/thumbs/ca3/ca32d262ebcc6ca1009291c775fa1c1c-s.jpg
The 3 Mistakes of My Life,https://www.pdfdrive.com/the-3-mistakes-of-my-life-e195171992.html,185 Pages,2015,1.03 MB,292 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/fef/fef5458566dddcdd0dca9ca02ba017a4-s.jpg
Five Point Someone,https://www.pdfdrive.com/five-point-someone-e164023728.html,144 Pages,2009,11.85 MB,288 Downloads,·New!  ...,https://s.pdfdrive.com/assets/thumbs/237/237864da0a95bf55204ea69909c27192-s.jpg
