title,description,location,features,date,price
Three bhk flat for sell in tridev residency patiya Lanka varanasi,Looking for sell in tridev residency patiya sundarpur Lanka varanasi gym play ground,"India, Uttar Pradesh, Varanasi, Shukulpur",3 Bds - 3 Ba - 1399 ft2,2020-02-28T15:01:05+0000,"₹ 61,00,000"
3 Cent's 1570 sqft 3 BHK brand new house Rs/- 58 lakhs,"3 Cent's land 1570 sqft 3 BHK nearing completion independent house for sale with car parking Rs/- 58 lakhs negotiable near by 1 km from puthiyakavu Valavu junction for more details please contact Nice Place Properties Vyittla Ernakulam 9/8/9/5/2/2/3/7/6/5, 9/0/6/18/8/8/8/7/4 broker excuse","India, Kerala, Kochi, Puthiyakavu",3 Bds - 3 Ba - 1600 ft2,2020-02-28T15:01:04+0000,"₹ 58,00,000"
Independent house for sale Sadasivpet town,2bhk house 75% bank loan facility,"India, Telangana, Sadasivpet, Siddapu Colony",2 Bds - 2 Ba - 800 ft2,2020-02-28T15:01:03+0000,"₹ 29,00,000"
1-BHK Apartment(600 Sq Ft) for Re-Sale at Karayanchavadi Near to Porur,"Near to Sri Ramachandra Medical College hospital(4 Km) # 1 KM from Karayanchavadi Bus Stop # CMDA approved. # Constructed As per Vastu # Ground + 1 with Terrace Apartment. # Good Ventilation # East Facing Apartment and 9 years old building  # Both Metro and ground water available # For Cash Parties price would be negotiable # Proposed metro train route # within city limit, new Chennai corporation limit # well laid road and lights # No parking space. # Can take Govt subsidy of 2.75 lacs if plan for loan # No GST # 380 Sqft UDS - Value for money # currently attracts Rs. 6000 as rent  #Time passers and brokers- pls excuse. This ads is only for people with low budget and aggressively looks for owning a medium low budget shelter. # Thanks for your time to look at my adv and best of luck for hunting your shelter. #Seven zero 1 zero four three 5 three 6 nine.","India, Tamil Nadu, Chennai, Poonamallee Karayanchavadi",1 Bds - 1 Ba - 600 ft2,2020-02-28T15:01:02+0000,"₹ 17,49,999"
"LUXURIOUS 1,2,3 BHK FLATS FOR SALE - PRE LAUNCH OFFER @ THUMUKUNTA",LUXURIOUS LIFE STYLES @ THUMUKUNTA - MEGA GATED COMMUNITY PROJECT .  PRE LAUNCH OFFER - MARCH 5TH BHOOMI PUJA  5FLOORS APARTMENT -  1BHK - 650SFT  2BHK - 1050SFT TO 1100 SFT  3BHK - 1350 SFT TO 1450 SFT  AMENITIES :  SWIMMING POOL  FULLY EQUIPPED GYM  SHUTTLE COURT  2 FLOORS CLUB HOUSE  INDOOR GAMES  LANDSCAPED GARDENS  ROOF GARDEN  MINI FUNCTION HALL  ONLY ONE DAY OFFER -  THUMUKUNTA .,"India, Telangana, Hyderabad, Tumkunta",3 Bds - 3 Ba - 1350 ft2,2020-02-28T15:00:55+0000,"₹ 36,45,000"
"40 cents,average house(old). Near to ponkunnam town, less than 1 Kms","40 സെന്റ്, പഴയ വീട്, വറ്റാത്ത വെള്ളം, അഞ്ചു മിനിറ്റു നടന്നാൽ പൊൻകുന്നം town.  നടപ്പ് വഴി നൂറ് മീറ്റർ.സെന്റിന് 80000 രൂപ മാത്രം.","India, Kerala, Kottayam, Ponkunnam",3 Bds - 2 Ba - 1000 ft2,2020-02-28T15:00:55+0000,"₹ 32,00,000"
1BHK Karjat- 19.9Lac,"New Launching Project in Karjat. Total 6.5 acres land parcel (Stilt +8 Storied 6 Towers & Stilt +12 Storied 2  Residential Project) Status: O C received  Location - 3 min Walking distance from Karjat Railway Station & Just Infront of Bus depot 1BHK Carpet Area - 471/ 482 sq ft. 2 BHK Carpet Area - 685/732sqft -: Project Features:- Hilltop project • 6.5  Acres land 8 Bldg Residential Buildings, Lavish 1 & 2 BHK Apartment. Earthquake resistant buildings 24 hours Water, Sewage Water Treatment  System, Solar Water Heating System FITTINGS Jaquar Fittings Amenities •  Clubhouse  •  Community Hall  •  Gymnasium   •  Swimming Pool •  Indore Games Location Advantage  Walking distance from Karjat Railway Station & IN front of ST Bus Depot ￼ . • 45 Minutes from Navi Mumbai. • 30 Minutes from Proposed International Airport ￼. • Near Educational institutes ￼ and Hospitals ￼  • 5 to 10 Minutes distance from D-Mart, Domino's ￼, & Banks ￼","India, Maharashtra, Mumbai, Kalyan East",1 Bds - 1 Ba - 700 ft2,2020-02-28T15:00:48+0000,"₹ 19,98,000"
unique fusion of urban aesthetics and space. Easy Connectivity,ECO FRIENDLY Garbage Disposal Landscape Garden Paved Compound Rain Water Harvesting SERVICES Letter Box Name Plates Solar Water Heating Toilet for drivers,"India, Maharashtra, Pune, Hinjewadi",1 Bds - 1 Ba - 625 ft2,2020-02-24T11:31:30+0000,"₹ 39,01,179"
"2 BHK Flats for Sale in Godrej Nature Plus Sohna, South of Gurgaon","Exclusive Health Landmark With 2X Air Quality.  ​Special O2 Island Area (Trees For Landscaping, Herbs Garden, Fragrance Plants).  ​35 Minutes from IGI Airport.  ​The region to be connected via proposed Metro Corridor & KMP Expressway.  ​20 minutes from Golf Course Road & Nearest Metro Station.","India, Haryana, Gurgaon, Delhi Road",2 Bds - 2 Ba - 1385 ft2,2020-01-29T16:08:57+0000,"₹ 79,00,000"
VISHAL PROPERTIES,Pehle Aao Pehle Pao Kiraya bacao Makan lo Aasaan kisto mai New Launch House kasturi Enclave jagjeetpur (Haridwar)(Uttrakhand) 1* Loan Available 2* Dakhil Khariz  3* 143 Darj  4* Fans  5* Lights  6* usha motor  7* parde  8* Cbse School Available (Dav) (Shivdale) (Divine Light) 13* Travelling Facility 24/7 14* Isbt ke back site  15* Railway station 2.5 Km,"India, Uttaranchal, Haridwar, Jwalapur",2 Bds - 1 Ba - 735 ft2,2020-02-22T07:00:46+0000,"₹ 18,51,000"
