name,type,location,website
University of Mary Hardin-Baylor,4 Year,"Belton, TX",https://www.niche.com/colleges/university-of-mary-hardin-baylor/
Cardinal Stritch University,4 Year,"Milwaukee, WI",https://www.niche.com/colleges/cardinal-stritch-university/
Concordia University - St. Paul,4 Year,"Saint Paul, MN",https://www.niche.com/colleges/concordia-university---st-paul/
Catawba College,4 Year,"Salisbury, NC",https://www.niche.com/colleges/catawba-college/
Northern Kentucky University,4 Year,"Highland Heights, KY",https://www.niche.com/colleges/northern-kentucky-university/
University of Baltimore,4 Year,"Baltimore, MD",https://www.niche.com/colleges/university-of-baltimore/
Cossatot Community College of the University of Arkansas,2 Year,"De Queen, AR",https://www.niche.com/colleges/cossatot-community-college-of-the-university-of-arkansas/
Stephen F Austin State University,4 Year,"Nacogdoches, TX",https://www.niche.com/colleges/stephen-f-austin-state-university/
Emory & Henry College,4 Year,"Emory, VA",https://www.niche.com/colleges/emory--and--henry-college/
Illinois State University,4 Year,"Normal, IL",https://www.niche.com/colleges/illinois-state-university/
University of Michigan - Dearborn,4 Year,"Dearborn, MI",https://www.niche.com/colleges/university-of-michigan---dearborn/
Xavier University,4 Year,"Cincinnati, OH",https://www.niche.com/colleges/xavier-university/
Dordt College,4 Year,"Sioux Center, IA",https://www.niche.com/colleges/dordt-college/
William Jessup University,4 Year,"Rocklin, CA",https://www.niche.com/colleges/william-jessup-university/
Towson University,4 Year,"Towson, MD",https://www.niche.com/colleges/towson-university/
University of Illinois at Springfield,4 Year,"Springfield, IL",https://www.niche.com/colleges/university-of-illinois-at-springfield/
Stetson University,4 Year,"DeLand, FL",https://www.niche.com/colleges/stetson-university/
The College of Idaho,4 Year,"Caldwell, ID",https://www.niche.com/colleges/the-college-of-idaho/
Messiah College,4 Year,"Mechanicsburg, PA",https://www.niche.com/colleges/messiah-college/
University of Detroit Mercy,4 Year,"Detroit, MI",https://www.niche.com/colleges/university-of-detroit-mercy/
Dallas Baptist University,4 Year,"Dallas, TX",https://www.niche.com/colleges/dallas-baptist-university/
Utah State University,4 Year,"Logan, UT",https://www.niche.com/colleges/utah-state-university/
University of New Hampshire at Manchester,4 Year,"Manchester, NH",https://www.niche.com/colleges/university-of-new-hampshire-at-manchester/
Brigham Young University - Hawaii,4 Year,"Laie, HI",https://www.niche.com/colleges/brigham-young-university---hawaii/
Lorenzo Walker Institute of Technology,2 Year,"Naples, FL",https://www.niche.com/colleges/lorenzo-walker-institute-of-technology/
Oral Roberts University,4 Year,"Tulsa, OK",https://www.niche.com/colleges/oral-roberts-university/
Ball State University,4 Year,"Muncie, IN",https://www.niche.com/colleges/ball-state-university/
Montana State University,4 Year,"Bozeman, MT",https://www.niche.com/colleges/montana-state-university/
Western Michigan University,4 Year,"Kalamazoo, MI",https://www.niche.com/colleges/western-michigan-university/
Kettering University,4 Year,"Flint, MI",https://www.niche.com/colleges/kettering-university/
Arizona State University - Polytechnic Campus,4 Year,"Mesa, AZ",https://www.niche.com/colleges/arizona-state-university---polytechnic-campus/
Beloit College,4 Year,"Beloit, WI",https://www.niche.com/colleges/beloit-college/
Lawrence Technological University,4 Year,"Southfield, MI",https://www.niche.com/colleges/lawrence-technological-university/
Georgia Southern University,4 Year,"Statesboro, GA",https://www.niche.com/colleges/georgia-southern-university/
South Plains College,2 Year,"Levelland, TX",https://www.niche.com/colleges/south-plains-college/
Trinity Christian College,4 Year,"Palos Heights, IL",https://www.niche.com/colleges/trinity-christian-college/
Simpson University,4 Year,"Redding, CA",https://www.niche.com/colleges/simpson-university/
Colorado Christian University,4 Year,"Lakewood, CO",https://www.niche.com/colleges/colorado-christian-university/
Louisiana College,4 Year,"Pineville, LA",https://www.niche.com/colleges/louisiana-college/
Minnesota State University Moorhead,4 Year,"Moorhead, MN",https://www.niche.com/colleges/minnesota-state-university-moorhead/
The Culinary Institute of America,4 Year,"Hyde Park, NY",https://www.niche.com/colleges/the-culinary-institute-of-america/
Penn State Abington,4 Year,"Abington, PA",https://www.niche.com/colleges/penn-state-abington/
Milwaukee Institute of Art & Design,4 Year,"Milwaukee, WI",https://www.niche.com/colleges/milwaukee-institute-of-art--and--design/
San Jose State University,4 Year,"San Jose, CA",https://www.niche.com/colleges/san-jose-state-university/
Grace Christian University,4 Year,"Wyoming, MI",https://www.niche.com/colleges/grace-christian-university/
Sheridan College,2 Year,"Sheridan, WY",https://www.niche.com/colleges/sheridan-college/
University of Northern Colorado,4 Year,"Greeley, CO",https://www.niche.com/colleges/university-of-northern-colorado/
D'Youville,4 Year,"Buffalo, NY",https://www.niche.com/colleges/dyouville/
Clarke University,4 Year,"Dubuque, IA",https://www.niche.com/colleges/clarke-university/
Marshall University,4 Year,"Huntington, WV",https://www.niche.com/colleges/marshall-university/
Eastern Michigan University,4 Year,"Ypsilanti, MI",https://www.niche.com/colleges/eastern-michigan-university/
St. Philip's College,2 Year,"San Antonio, TX",https://www.niche.com/colleges/st-philips-college/
Pfeiffer University,4 Year,"Misenheimer, NC",https://www.niche.com/colleges/pfeiffer-university/
Central Washington University,4 Year,"Ellensburg, WA",https://www.niche.com/colleges/central-washington-university/
Cornerstone University,4 Year,"Grand Rapids, MI",https://www.niche.com/colleges/cornerstone-university/
Morningside College,4 Year,"Sioux City, IA",https://www.niche.com/colleges/morningside-college/
Mount St. Mary's University,4 Year,"Emmitsburg, MD",https://www.niche.com/colleges/mount-st-marys-university/
University of New England,4 Year,"Biddeford, ME",https://www.niche.com/colleges/university-of-new-england/
Aquinas College - Michigan,4 Year,"Grand Rapids, MI",https://www.niche.com/colleges/aquinas-college---michigan/
WSU Tech,2 Year,"Wichita, KS",https://www.niche.com/colleges/wsu-tech/
School of Visual Arts,4 Year,"New York, NY",https://www.niche.com/colleges/school-of-visual-arts/
Ogeechee Technical College,2 Year,"Statesboro, GA",https://www.niche.com/colleges/ogeechee-technical-college/
University of Texas - El Paso,4 Year,"El Paso, TX",https://www.niche.com/colleges/university-of-texas---el-paso/
San Francisco State University,4 Year,"San Francisco, CA",https://www.niche.com/colleges/san-francisco-state-university/
Davis & Elkins College,4 Year,"Elkins, WV",https://www.niche.com/colleges/davis--and--elkins-college/
College of Lake County,2 Year,"Grayslake, IL",https://www.niche.com/colleges/college-of-lake-county/
Hope International University,4 Year,"Fullerton, CA",https://www.niche.com/colleges/hope-international-university/
Osceola Technical College,2 Year,"Kissimmee, FL",https://www.niche.com/colleges/osceola-technical-college/
High Point University,4 Year,"High Point, NC",https://www.niche.com/colleges/high-point-university/
West Valley College,2 Year,"Saratoga, CA",https://www.niche.com/colleges/west-valley-college/
Austin Community College District,4 Year,"Austin, TX",https://www.niche.com/colleges/austin-community-college-district/
Johnston Community College,2 Year,"Smithfield, NC",https://www.niche.com/colleges/johnston-community-college/
Arkansas State University - Mountain Home,2 Year,"Mountain Home, AR",https://www.niche.com/colleges/arkansas-state-university---mountain-home/
Copiah-Lincoln Community College,2 Year,"Wesson, MS",https://www.niche.com/colleges/copiah-lincoln-community-college/
Converse College,4 Year,"Spartanburg, SC",https://www.niche.com/colleges/converse-college/
Northern State University,4 Year,"Aberdeen, SD",https://www.niche.com/colleges/northern-state-university/
Southern Illinois University Carbondale,4 Year,"Carbondale, IL",https://www.niche.com/colleges/southern-illinois-university-carbondale/
Alamance Community College,2 Year,"Graham, NC",https://www.niche.com/colleges/alamance-community-college/
Malone University,4 Year,"Canton, OH",https://www.niche.com/colleges/malone-university/
Mississippi Gulf Coast Community College,2 Year,"Perkinston, MS",https://www.niche.com/colleges/mississippi-gulf-coast-community-college/
Carl Sandburg College,2 Year,"Galesburg, IL",https://www.niche.com/colleges/carl-sandburg-college/
Frederick Community College,2 Year,"Frederick, MD",https://www.niche.com/colleges/frederick-community-college/
Mount St. Joseph University,4 Year,"Cincinnati, OH",https://www.niche.com/colleges/mount-st-joseph-university/
California State University - Monterey Bay,4 Year,"Seaside, CA",https://www.niche.com/colleges/california-state-university---monterey-bay/
Phoenix College,2 Year,"Phoenix, AZ",https://www.niche.com/colleges/phoenix-college/
Massachusetts College of Art & Design,4 Year,"Boston, MA",https://www.niche.com/colleges/massachusetts-college-of-art--and--design/
Yavapai College,2 Year,"Prescott, AZ",https://www.niche.com/colleges/yavapai-college/
Fond du Lac Tribal & Community College,2 Year,"Cloquet, MN",https://www.niche.com/colleges/fond-du-lac-tribal--and--community-college/
Iona College,4 Year,"New Rochelle, NY",https://www.niche.com/colleges/iona-college/
Western New England University,4 Year,"Springfield, MA",https://www.niche.com/colleges/western-new-england-university/
North Shore Community College,2 Year,"Danvers, MA",https://www.niche.com/colleges/north-shore-community-college/
Hiram College,4 Year,"Hiram, OH",https://www.niche.com/colleges/hiram-college/
SUNY Cortland,4 Year,"Cortland, NY",https://www.niche.com/colleges/suny-cortland/
Dakota State University,4 Year,"Madison, SD",https://www.niche.com/colleges/dakota-state-university/
SUNY College at Brockport,4 Year,"Brockport, NY",https://www.niche.com/colleges/suny-college-at-brockport/
Gwinnett Technical College,2 Year,"Lawrenceville, GA",https://www.niche.com/colleges/gwinnett-technical-college/
University of South Carolina - Salkehatchie,2 Year,"Allendale, SC",https://www.niche.com/colleges/university-of-south-carolina---salkehatchie/
Ringling College of Art & Design,4 Year,"Sarasota, FL",https://www.niche.com/colleges/ringling-college-of-art--and--design/
Mount Carmel College of Nursing,4 Year,"Columbus, OH",https://www.niche.com/colleges/mount-carmel-college-of-nursing/
Eureka College,4 Year,"Eureka, IL",https://www.niche.com/colleges/eureka-college/
John Wood Community College,2 Year,"Quincy, IL",https://www.niche.com/colleges/john-wood-community-college/
Marywood University,4 Year,"Scranton, PA",https://www.niche.com/colleges/marywood-university/
York College of Pennsylvania,4 Year,"York, PA",https://www.niche.com/colleges/york-college-of-pennsylvania/
Keene State College,4 Year,"Keene, NH",https://www.niche.com/colleges/keene-state-college/
Foothill College,4 Year,"Los Altos Hills, CA",https://www.niche.com/colleges/foothill-college/
Ashland University,4 Year,"Ashland, OH",https://www.niche.com/colleges/ashland-university/
Meridian Community College,2 Year,"Meridian, MS",https://www.niche.com/colleges/meridian-community-college/
Metropolitan State University - Minnesota,4 Year,"Saint Paul, MN",https://www.niche.com/colleges/metropolitan-state-university---minnesota/
Panola College,2 Year,"Carthage, TX",https://www.niche.com/colleges/panola-college/
Atlantic Technical College,2 Year,"Coconut Creek, FL",https://www.niche.com/colleges/atlantic-technical-college/
Assumption College,4 Year,"Worcester, MA",https://www.niche.com/colleges/assumption-college/
Scottsdale Community College,2 Year,"Scottsdale, AZ",https://www.niche.com/colleges/scottsdale-community-college/
Catawba Valley Community College,2 Year,"Hickory, NC",https://www.niche.com/colleges/catawba-valley-community-college/
Manhattan Area Technical College,2 Year,"Manhattan, KS",https://www.niche.com/colleges/manhattan-area-technical-college/
South Mountain Community College,2 Year,"Phoenix, AZ",https://www.niche.com/colleges/south-mountain-community-college/
Wentworth Institute of Technology,4 Year,"Boston, MA",https://www.niche.com/colleges/wentworth-institute-of-technology/
Lake Superior State University,4 Year,"Sault Ste Marie, MI",https://www.niche.com/colleges/lake-superior-state-university/
Grace College,4 Year,"Winona Lake, IN",https://www.niche.com/colleges/grace-college/
University of Michigan - Flint,4 Year,"Flint, MI",https://www.niche.com/colleges/university-of-michigan---flint/
University of Montevallo,4 Year,"Montevallo, AL",https://www.niche.com/colleges/university-of-montevallo/
West Virginia Wesleyan College,4 Year,"Buckhannon, WV",https://www.niche.com/colleges/west-virginia-wesleyan-college/
Quincy University,4 Year,"Quincy, IL",https://www.niche.com/colleges/quincy-university/
Fort Myers Institute of Technology,2 Year,"Fort Myers, FL",https://www.niche.com/colleges/fort-myers-institute-of-technology/
Plymouth State University,4 Year,"Plymouth, NH",https://www.niche.com/colleges/plymouth-state-university/
Canada College,2 Year,"Redwood City, CA",https://www.niche.com/colleges/canada-college/
California State University - Channel Islands,4 Year,"Camarillo, CA",https://www.niche.com/colleges/california-state-university---channel-islands/
Rhode Island College,4 Year,"Providence, RI",https://www.niche.com/colleges/rhode-island-college/
Claflin University,4 Year,"Orangeburg, SC",https://www.niche.com/colleges/claflin-university/
Eastern University,4 Year,"Saint Davids, PA",https://www.niche.com/colleges/eastern-university/
New Mexico Junior College,2 Year,"Hobbs, NM",https://www.niche.com/colleges/new-mexico-junior-college/
Northern Illinois University,4 Year,"Dekalb, IL",https://www.niche.com/colleges/northern-illinois-university/
West Liberty University,4 Year,"West Liberty, WV",https://www.niche.com/colleges/west-liberty-university/
Westminster College - Missouri,4 Year,"Fulton, MO",https://www.niche.com/colleges/westminster-college---missouri/
Tennessee Technology Center at Hohenwald,2 Year,"Hohenwald, TN",https://www.niche.com/colleges/tennessee-technology-center-at-hohenwald/
Southeast Missouri State University,4 Year,"Cape Girardeau, MO",https://www.niche.com/colleges/southeast-missouri-state-university/
Endicott College,4 Year,"Beverly, MA",https://www.niche.com/colleges/endicott-college/
Wichita State University,4 Year,"Wichita, KS",https://www.niche.com/colleges/wichita-state-university/
Paradise Valley Community College,2 Year,"Phoenix, AZ",https://www.niche.com/colleges/paradise-valley-community-college/
Montgomery Community College,2 Year,"Troy, NC",https://www.niche.com/colleges/montgomery-community-college/
Benedictine College,4 Year,"Atchison, KS",https://www.niche.com/colleges/benedictine-college/
Pinellas Technical College - St. Petersburg,2 Year,"Saint Petersburg, FL",https://www.niche.com/colleges/pinellas-technical-college---st-petersburg/
SUNY Potsdam,4 Year,"Potsdam, NY",https://www.niche.com/colleges/suny-potsdam/
Hardin-Simmons University,4 Year,"Abilene, TX",https://www.niche.com/colleges/hardin-simmons-university/
Moorpark College,2 Year,"Moorpark, CA",https://www.niche.com/colleges/moorpark-college/
Eastern Connecticut State University,4 Year,"Willimantic, CT",https://www.niche.com/colleges/eastern-connecticut-state-university/
Greenville University,4 Year,"Greenville, IL",https://www.niche.com/colleges/greenville-university/
Helena College - University of Montana,2 Year,"Helena, MT",https://www.niche.com/colleges/helena-college---university-of-montana/
Mount Mary University,4 Year,"Milwaukee, WI",https://www.niche.com/colleges/mount-mary-university/
Woodbury University,4 Year,"Burbank, CA",https://www.niche.com/colleges/woodbury-university/
Stephens College,4 Year,"Columbia, MO",https://www.niche.com/colleges/stephens-college/
Mid-Plains Community College,2 Year,"North Platte, NE",https://www.niche.com/colleges/mid-plains-community-college/
Galveston College,2 Year,"Galveston, TX",https://www.niche.com/colleges/galveston-college/
Northern Michigan University,4 Year,"Marquette, MI",https://www.niche.com/colleges/northern-michigan-university/
Riverland Community College,2 Year,"Austin, MN",https://www.niche.com/colleges/riverland-community-college/
Carroll Community College,2 Year,"Westminster, MD",https://www.niche.com/colleges/carroll-community-college/
Alexandria Technical & Community College,2 Year,"Alexandria, MN",https://www.niche.com/colleges/alexandria-technical--and--community-college/
Tennessee Technology Center at Harriman,2 Year,"Harriman, TN",https://www.niche.com/colleges/tennessee-technology-center-at-harriman/
Cleveland Institute of Art,4 Year,"Cleveland, OH",https://www.niche.com/colleges/cleveland-institute-of-art/
University of Texas - Permian Basin,4 Year,"Odessa, TX",https://www.niche.com/colleges/university-of-texas---permian-basin/
Northeastern State University,4 Year,"Tahlequah, OK",https://www.niche.com/colleges/northeastern-state-university/
Widener University,4 Year,"Chester, PA",https://www.niche.com/colleges/widener-university/
University of Alaska Fairbanks,4 Year,"Fairbanks, AK",https://www.niche.com/colleges/university-of-alaska-fairbanks/
Buena Vista University,4 Year,"Storm Lake, IA",https://www.niche.com/colleges/buena-vista-university/
Canisius College,4 Year,"Buffalo, NY",https://www.niche.com/colleges/canisius-college/
Pearl River Community College,2 Year,"Poplarville, MS",https://www.niche.com/colleges/pearl-river-community-college/
Tennessee Technology Center at Athens,2 Year,"Athens, TN",https://www.niche.com/colleges/tennessee-technology-center-at-athens/
California State University - San Bernardino,4 Year,"San Bernardino, CA",https://www.niche.com/colleges/california-state-university---san-bernardino/
Big Bend Community College,2 Year,"Moses Lake, WA",https://www.niche.com/colleges/big-bend-community-college/
Eastern New Mexico University,4 Year,"Portales, NM",https://www.niche.com/colleges/eastern-new-mexico-university/
West Virginia University Institute of Technology,4 Year,"Beckley, WV",https://www.niche.com/colleges/west-virginia-university-institute-of-technology/
Morehouse College,4 Year,"Atlanta, GA",https://www.niche.com/colleges/morehouse-college/
East Central University,4 Year,"Ada, OK",https://www.niche.com/colleges/east-central-university/
Sandhills Community College,2 Year,"Pinehurst, NC",https://www.niche.com/colleges/sandhills-community-college/
Laredo College,2 Year,"Laredo, TX",https://www.niche.com/colleges/laredo-college/
Tennessee Technology Center at Livingston,2 Year,"Livingston, TN",https://www.niche.com/colleges/tennessee-technology-center-at-livingston/
Brunswick Community College,2 Year,"Bolivia, NC",https://www.niche.com/colleges/brunswick-community-college/
Pennsylvania College of Health Sciences,4 Year,"Lancaster, PA",https://www.niche.com/colleges/pennsylvania-college-of-health-sciences/
Paul D Camp Community College,2 Year,"Franklin, VA",https://www.niche.com/colleges/paul-d-camp-community-college/
Benedictine University,4 Year,"Lisle, IL",https://www.niche.com/colleges/benedictine-university/
SUNY Jamestown Community College,2 Year,"Jamestown, NY",https://www.niche.com/colleges/suny-jamestown-community-college/
Randolph Community College,2 Year,"Asheboro, NC",https://www.niche.com/colleges/randolph-community-college/
Missouri Baptist University,4 Year,"Saint Louis, MO",https://www.niche.com/colleges/missouri-baptist-university/
Hawaii Pacific University,4 Year,"Honolulu, HI",https://www.niche.com/colleges/hawaii-pacific-university/
Northeastern Junior College,2 Year,"Sterling, CO",https://www.niche.com/colleges/northeastern-junior-college/
University of Saint Mary,4 Year,"Leavenworth, KS",https://www.niche.com/colleges/university-of-saint-mary/
Eastern Washington University,4 Year,"Cheney, WA",https://www.niche.com/colleges/eastern-washington-university/
Bellingham Technical College,4 Year,"Bellingham, WA",https://www.niche.com/colleges/bellingham-technical-college/
Eastern Wyoming College,2 Year,"Torrington, WY",https://www.niche.com/colleges/eastern-wyoming-college/
Ave Maria University,4 Year,"Ave Maria, FL",https://www.niche.com/colleges/ave-maria-university/
Albertus Magnus College,4 Year,"New Haven, CT",https://www.niche.com/colleges/albertus-magnus-college/
Rockford University,4 Year,"Rockford, IL",https://www.niche.com/colleges/rockford-university/
Cape Fear Community College,2 Year,"Wilmington, NC",https://www.niche.com/colleges/cape-fear-community-college/
Mount Vernon Nazarene University,4 Year,"Mount Vernon, OH",https://www.niche.com/colleges/mount-vernon-nazarene-university/
Salem College,4 Year,"Winston-Salem, NC",https://www.niche.com/colleges/salem-college/
Lee College,2 Year,"Baytown, TX",https://www.niche.com/colleges/lee-college/
Manchester Community College - Connecticut,2 Year,"Manchester, CT",https://www.niche.com/colleges/manchester-community-college---connecticut/
California State University - Bakersfield,4 Year,"Bakersfield, CA",https://www.niche.com/colleges/california-state-university---bakersfield/
Western Colorado University,4 Year,"Gunnison, CO",https://www.niche.com/colleges/western-colorado-university/
Winston-Salem State University,4 Year,"Winston-Salem, NC",https://www.niche.com/colleges/winston-salem-state-university/
University of New Haven,4 Year,"West Haven, CT",https://www.niche.com/colleges/university-of-new-haven/
Hartwick College,4 Year,"Oneonta, NY",https://www.niche.com/colleges/hartwick-college/
Western Oregon University,4 Year,"Monmouth, OR",https://www.niche.com/colleges/western-oregon-university/
Barton College,4 Year,"Wilson, NC",https://www.niche.com/colleges/barton-college/
Waubonsee Community College,2 Year,"Sugar Grove, IL",https://www.niche.com/colleges/waubonsee-community-college/
Tuskegee University,4 Year,"Tuskegee, AL",https://www.niche.com/colleges/tuskegee-university/
Mercyhurst University,4 Year,"Erie, PA",https://www.niche.com/colleges/mercyhurst-university/
University of Mount Olive,4 Year,"Mount Olive, NC",https://www.niche.com/colleges/university-of-mount-olive/
Normandale Community College,2 Year,"Bloomington, MN",https://www.niche.com/colleges/normandale-community-college/
SUNY Alfred State College,4 Year,"Alfred, NY",https://www.niche.com/colleges/suny-alfred-state-college/
Holy Names University,4 Year,"Oakland, CA",https://www.niche.com/colleges/holy-names-university/
Metropolitan Community College - Nebraska,2 Year,"Omaha, NE",https://www.niche.com/colleges/metropolitan-community-college---nebraska/
Robert Morris University - Pennsylvania,4 Year,"Moon Township, PA",https://www.niche.com/colleges/robert-morris-university---pennsylvania/
Columbus State University,4 Year,"Columbus, GA",https://www.niche.com/colleges/columbus-state-university/
Northeast Community College,2 Year,"Norfolk, NE",https://www.niche.com/colleges/northeast-community-college/
Daemen College,4 Year,"Amherst, NY",https://www.niche.com/colleges/daemen-college/
Maryland Institute College of Art,4 Year,"Baltimore, MD",https://www.niche.com/colleges/maryland-institute-college-of-art/
Diablo Valley College,2 Year,"Pleasant Hill, CA",https://www.niche.com/colleges/diablo-valley-college/
Cincinnati State Technical & Community College,2 Year,"Cincinnati, OH",https://www.niche.com/colleges/cincinnati-state-technical--and--community-college/
Bethel University - Indiana,4 Year,"Mishawaka, IN",https://www.niche.com/colleges/bethel-university---indiana/
CUNY Queensborough Community College,2 Year,"Bayside, NY",https://www.niche.com/colleges/cuny-queensborough-community-college/
Savannah College of Art & Design,4 Year,"Savannah, GA",https://www.niche.com/colleges/savannah-college-of-art--and--design/
Wharton County Junior College,2 Year,"Wharton, TX",https://www.niche.com/colleges/wharton-county-junior-college/
Truckee Meadows Community College,4 Year,"Reno, NV",https://www.niche.com/colleges/truckee-meadows-community-college/
Itawamba Community College,2 Year,"Fulton, MS",https://www.niche.com/colleges/itawamba-community-college/
Penn State Mont Alto,4 Year,"Mont Alto, PA",https://www.niche.com/colleges/penn-state-mont-alto/
University of Wisconsin - Green Bay,4 Year,"Green Bay, WI",https://www.niche.com/colleges/university-of-wisconsin---green-bay/
California State University - Dominguez Hills,4 Year,"Carson, CA",https://www.niche.com/colleges/california-state-university---dominguez-hills/
Indian Hills Community College,2 Year,"Ottumwa, IA",https://www.niche.com/colleges/indian-hills-community-college/
Southcentral Kentucky Community & Technical Center,2 Year,"Bowling Green, KY",https://www.niche.com/colleges/southcentral-kentucky-community--and--technical-center/
Delta State University,4 Year,"Cleveland, MS",https://www.niche.com/colleges/delta-state-university/
Roberts Wesleyan College,4 Year,"Rochester, NY",https://www.niche.com/colleges/roberts-wesleyan-college/
Galen College of Nursing - San Antonio,4 Year,"San Antonio, TX",https://www.niche.com/colleges/galen-college-of-nursing---san-antonio/
Hagerstown Community College,2 Year,"Hagerstown, MD",https://www.niche.com/colleges/hagerstown-community-college/
Saddleback College,2 Year,"Mission Viejo, CA",https://www.niche.com/colleges/saddleback-college/
Metro Technology Centers,2 Year,"Oklahoma City, OK",https://www.niche.com/colleges/metro-technology-centers/
Hibbing Community College - A Technical & Community College,2 Year,"Hibbing, MN",https://www.niche.com/colleges/hibbing-community-college---a-technical--and--community-college/
Metropolitan State University of Denver,4 Year,"Denver, CO",https://www.niche.com/colleges/metropolitan-state-university-of-denver/
Kirkwood Community College,2 Year,"Cedar Rapids, IA",https://www.niche.com/colleges/kirkwood-community-college/
Milwaukee Area Technical College,2 Year,"Milwaukee, WI",https://www.niche.com/colleges/milwaukee-area-technical-college/
University of Houston - Victoria,4 Year,"Victoria, TX",https://www.niche.com/colleges/university-of-houston---victoria/
Rock Valley College,2 Year,"Rockford, IL",https://www.niche.com/colleges/rock-valley-college/
Lawson State Community College - Birmingham,2 Year,"Birmingham, AL",https://www.niche.com/colleges/lawson-state-community-college---birmingham/
Purdue University Fort Wayne,4 Year,"Fort Wayne, IN",https://www.niche.com/colleges/purdue-university-fort-wayne/
Concordia University Irvine,4 Year,"Irvine, CA",https://www.niche.com/colleges/concordia-university-irvine/
Trinidad State Junior College,2 Year,"Trinidad, CO",https://www.niche.com/colleges/trinidad-state-junior-college/
North Idaho College,2 Year,"Coeur D'Alene, ID",https://www.niche.com/colleges/north-idaho-college/
Raritan Valley Community College,2 Year,"Branchburg, NJ",https://www.niche.com/colleges/raritan-valley-community-college/
Chipola College,4 Year,"Marianna, FL",https://www.niche.com/colleges/chipola-college/
La Roche University,4 Year,"Pittsburgh, PA",https://www.niche.com/colleges/la-roche-university/
Fayetteville State University,4 Year,"Fayetteville, NC",https://www.niche.com/colleges/fayetteville-state-university/
Blue Mountain College,4 Year,"Blue Mountain, MS",https://www.niche.com/colleges/blue-mountain-college/
Concordia University - Ann Arbor,4 Year,"Ann Arbor, MI",https://www.niche.com/colleges/concordia-university---ann-arbor/
McMurry University,4 Year,"Abilene, TX",https://www.niche.com/colleges/mcmurry-university/
Cochise College,2 Year,"Sierra Vista, AZ",https://www.niche.com/colleges/cochise-college/
University of Montana,4 Year,"Missoula, MT",https://www.niche.com/colleges/university-of-montana/
Penn State Beaver,4 Year,"Monaca, PA",https://www.niche.com/colleges/penn-state-beaver/
Southern Oregon University,4 Year,"Ashland, OR",https://www.niche.com/colleges/southern-oregon-university/
Santiago Canyon College,2 Year,"Orange, CA",https://www.niche.com/colleges/santiago-canyon-college/
Bridgewater College,4 Year,"Bridgewater, VA",https://www.niche.com/colleges/bridgewater-college/
Cairn University,4 Year,"Langhorne, PA",https://www.niche.com/colleges/cairn-university/
Indiana University - East,4 Year,"Richmond, IN",https://www.niche.com/colleges/indiana-university---east/
Flint Hills Technical College,2 Year,"Emporia, KS",https://www.niche.com/colleges/flint-hills-technical-college/
Anderson University - South Carolina,4 Year,"Anderson, SC",https://www.niche.com/colleges/anderson-university---south-carolina/
South Puget Sound Community College,2 Year,"Olympia, WA",https://www.niche.com/colleges/south-puget-sound-community-college/
Lanier Technical College,2 Year,"Gainesville, GA",https://www.niche.com/colleges/lanier-technical-college/
Ehove Career Center,2 Year,"Milan, OH",https://www.niche.com/colleges/ehove-career-center/
Orangeburg Calhoun Technical College,2 Year,"Orangeburg, SC",https://www.niche.com/colleges/orangeburg-calhoun-technical-college/
San Diego Miramar College,2 Year,"San Diego, CA",https://www.niche.com/colleges/san-diego-miramar-college/
Central Georgia Technical College,2 Year,"Warner Robins, GA",https://www.niche.com/colleges/central-georgia-technical-college/
Touro College,4 Year,"New York, NY",https://www.niche.com/colleges/touro-college/
Northeast Alabama Community College,2 Year,"Rainsville, AL",https://www.niche.com/colleges/northeast-alabama-community-college/
Southwestern Community College - North Carolina,2 Year,"Sylva, NC",https://www.niche.com/colleges/southwestern-community-college---north-carolina/
University of Dubuque,4 Year,"Dubuque, IA",https://www.niche.com/colleges/university-of-dubuque/
Northwestern Connecticut Community College,2 Year,"Winsted, CT",https://www.niche.com/colleges/northwestern-connecticut-community-college/
Maranatha Baptist University,4 Year,"Watertown, WI",https://www.niche.com/colleges/maranatha-baptist-university/
Rockingham Community College,2 Year,"Wentworth, NC",https://www.niche.com/colleges/rockingham-community-college/
University of Arkansas Community College - Hope,2 Year,"Hope, AR",https://www.niche.com/colleges/university-of-arkansas-community-college---hope/
Ohio Christian University,4 Year,"Circleville, OH",https://www.niche.com/colleges/ohio-christian-university/
Central Connecticut State University,4 Year,"New Britain, CT",https://www.niche.com/colleges/central-connecticut-state-university/
Brevard College,4 Year,"Brevard, NC",https://www.niche.com/colleges/brevard-college/
Treasure Valley Community College,2 Year,"Ontario, OR",https://www.niche.com/colleges/treasure-valley-community-college/
St. Cloud Technical & Community College,2 Year,"Saint Cloud, MN",https://www.niche.com/colleges/st-cloud-technical--and--community-college/
Seward County Community College,2 Year,"Liberal, KS",https://www.niche.com/colleges/seward-county-community-college/
Salish Kootenai College,4 Year,"Pablo, MT",https://www.niche.com/colleges/salish-kootenai-college/
Ranken Technical College,4 Year,"Saint Louis, MO",https://www.niche.com/colleges/ranken-technical-college/
Georgetown College,4 Year,"Georgetown, KY",https://www.niche.com/colleges/georgetown-college/
Northwood University - Midland,4 Year,"Midland, MI",https://www.niche.com/colleges/northwood-university---midland/
Geneva College,4 Year,"Beaver Falls, PA",https://www.niche.com/colleges/geneva-college/
College of DuPage,2 Year,"Glen Ellyn, IL",https://www.niche.com/colleges/college-of-dupage/
