name,type,location,website
New York University,4 Year,"New York, NY",https://www.niche.com/colleges/new-york-university/
Bates College,4 Year,"Lewiston, ME",https://www.niche.com/colleges/bates-college/
Boston College,4 Year,"Chestnut Hill, MA",https://www.niche.com/colleges/boston-college/
Claremont McKenna College,4 Year,"Claremont, CA",https://www.niche.com/colleges/claremont-mckenna-college/
Harvey Mudd College,4 Year,"Claremont, CA",https://www.niche.com/colleges/harvey-mudd-college/
Kansas State University,4 Year,"Manhattan, KS",https://www.niche.com/colleges/kansas-state-university/
University of Nebraska - Lincoln,4 Year,"Lincoln, NE",https://www.niche.com/colleges/university-of-nebraska---lincoln/
Baptist College of Health Sciences,4 Year,"Memphis, TN",https://www.niche.com/colleges/baptist-college-of-health-sciences/
St. Lawrence University,4 Year,"Canton, NY",https://www.niche.com/colleges/st-lawrence-university/
Virginia Military Institute,4 Year,"Lexington, VA",https://www.niche.com/colleges/virginia-military-institute/
Creighton University,4 Year,"Omaha, NE",https://www.niche.com/colleges/creighton-university/
Rochester Institute of Technology,4 Year,"Rochester, NY",https://www.niche.com/colleges/rochester-institute-of-technology/
The College of New Jersey,4 Year,"Ewing, NJ",https://www.niche.com/colleges/the-college-of-new-jersey/
University of San Francisco,4 Year,"San Francisco, CA",https://www.niche.com/colleges/university-of-san-francisco/
New Mexico Tech,4 Year,"Socorro, NM",https://www.niche.com/colleges/new-mexico-tech/
Gonzaga University,4 Year,"Spokane, WA",https://www.niche.com/colleges/gonzaga-university/
University of Central Florida,4 Year,"Orlando, FL",https://www.niche.com/colleges/university-of-central-florida/
Moody Bible Institute,4 Year,"Chicago, IL",https://www.niche.com/colleges/moody-bible-institute/
University of St. Thomas - Minnesota,4 Year,"Saint Paul, MN",https://www.niche.com/colleges/university-of-st-thomas---minnesota/
Luther College,4 Year,"Decorah, IA",https://www.niche.com/colleges/luther-college/
Butler University,4 Year,"Indianapolis, IN",https://www.niche.com/colleges/butler-university/
Hope College,4 Year,"Holland, MI",https://www.niche.com/colleges/hope-college/
SUNY College of Environmental Science & Forestry,4 Year,"Syracuse, NY",https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/
Mississippi State University,4 Year,"Mississippi State, MS",https://www.niche.com/colleges/mississippi-state-university/
Missouri University of Science & Technology,4 Year,"Rolla, MO",https://www.niche.com/colleges/missouri-university-of-science--and--technology/
CUNY Baruch College,4 Year,"New York, NY",https://www.niche.com/colleges/cuny-baruch-college/
DePauw University,4 Year,"Greencastle, IN",https://www.niche.com/colleges/depauw-university/
University of Oregon,4 Year,"Eugene, OR",https://www.niche.com/colleges/university-of-oregon/
"University at Buffalo, SUNY",4 Year,"Buffalo, NY",https://www.niche.com/colleges/university-at-buffalo-suny/
University of Texas at Dallas,4 Year,"Richardson, TX",https://www.niche.com/colleges/university-of-texas-at-dallas/
University of Texas - Austin,4 Year,"Austin, TX",https://www.niche.com/colleges/university-of-texas---austin/
Colby College,4 Year,"Waterville, ME",https://www.niche.com/colleges/colby-college/
Hamilton College,4 Year,"Clinton, NY",https://www.niche.com/colleges/hamilton-college/
Wesleyan University,4 Year,"Middletown, CT",https://www.niche.com/colleges/wesleyan-university/
Lehigh University,4 Year,"Bethlehem, PA",https://www.niche.com/colleges/lehigh-university/
William & Mary,4 Year,"Williamsburg, VA",https://www.niche.com/colleges/william--and--mary/
Colgate University,4 Year,"Hamilton, NY",https://www.niche.com/colleges/colgate-university/
Virginia Tech,4 Year,"Blacksburg, VA",https://www.niche.com/colleges/virginia-tech/
University of Florida,4 Year,"Gainesville, FL",https://www.niche.com/colleges/university-of-florida/
Boston University,4 Year,"Boston, MA",https://www.niche.com/colleges/boston-university/
University of Richmond,4 Year,"University of Richmond, VA",https://www.niche.com/colleges/university-of-richmond/
Smith College,4 Year,"Northampton, MA",https://www.niche.com/colleges/smith-college/
University of Wisconsin,4 Year,"Madison, WI",https://www.niche.com/colleges/university-of-wisconsin/
University of Illinois at Urbana-Champaign,4 Year,"Champaign, IL",https://www.niche.com/colleges/university-of-illinois-at-urbana-champaign/
Vassar College,4 Year,"Poughkeepsie, NY",https://www.niche.com/colleges/vassar-college/
University of Georgia,4 Year,"Athens, GA",https://www.niche.com/colleges/university-of-georgia/
Colorado College,4 Year,"Colorado Springs, CO",https://www.niche.com/colleges/colorado-college/
The Cooper Union for the Advancement of Science and Art,4 Year,"New York, NY",https://www.niche.com/colleges/the-cooper-union-for-the-advancement-of-science-and-art/
Grinnell College,4 Year,"Grinnell, IA",https://www.niche.com/colleges/grinnell-college/
Bucknell University,4 Year,"Lewisburg, PA",https://www.niche.com/colleges/bucknell-university/
