Song Heading,Singer,Composer,Lyricist,Actor,Film (Year),Category
O God Tussi Great Ho4.00 - 5 votes,"Shankar Mahadevan, Sonu Nigam",Sajid Wajid,Shabbir Ahmed,Salman Khan,God Tussi Great Ho (2008),Religious Songs
Laal Chunariya Odhali Maine Jabse Piya Ke Naam Ki4.42 - 26 votes,"Alka Yagnik, Udit Narayan",Sajid Wajid,Deven Shukla,"Priyanka Chopra, Salman Khan",God Tussi Great Ho (2008),Romantic Songs
"Tujhe Aksa Beach Ghuma Du, Aa Chalti Kya4.56 - 9 votes","Amrita Kak, Wajid Khan",Sajid Wajid,Shabbir Ahmed,"Priyanka Chopra, Salman Khan, Sohail Khan",God Tussi Great Ho (2008),Remix Songs
Tumko Dekha Tha Kabhi Maine Khwabo Mein Sanam4.50 - 2 votes,"Neeraj Shridhar, Shreya Ghoshal",Sajid Wajid,Jalees Sherwani,"Salman Khan, Priyanka Chopra",God Tussi Great Ho (2008),Romantic Songs
Tujhe Aksa Beach Ghuma Du (Remix)4.22 - 9 votes,"Amrita Kak, Wajid Ali",Sajid Wajid,Shabbir Ahmed,"Priyanka Chopra, Salman Khan",God Tussi Great Ho (2008),Remix Songs
"Lets Party Forever, Everybody Lets Do Together2.67 - 3 votes","Sunidhi Chauhan, Shaan",Sajid Wajid,Jalees Sherwani,Salman Khan,God Tussi Great Ho (2008),Rock Songs
God Tussi Great Ho (Remix)3.00 - 1 votes,"Shankar Mahadevan, Sonu Nigam",Sajid Wajid,Shabbir Ahmed,,God Tussi Great Ho (2008),Remix Songs
Lets Party Forever (Remix)3.00 - 1 votes,"Sunidhi Chauhan, Shaan",Sajid Wajid,Jalees Sherwani,Salman Khan,God Tussi Great Ho (2008),Remix Songs
Jihaal E Masti Makun Ba Ranjish4.46 - 385 votes,"Lata Mangeshkar, Shabbir Kumar",Laxmikant Pyarelal,Gulzar,"Anita Raj, Mithun Chakraborty",Ghulami (1985),Rock Songs
Mere Pee Ko Pawan Kis Gali Le Chali3.84 - 25 votes,Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,Reena Roy,Ghulami (1985),
Peele Peele Sharab Hai Peele Peele4.50 - 4 votes,"Suresh Wadkar, Shabbir Kumar, Manhar Udhas",Laxmikant Pyarelal,Gulzar,Mithun Chakraborty,Ghulami (1985),Sharabi Songs
"Mere Peeko, Zehar Hai Raat4.38 - 8 votes",Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,,Ghulami (1985),
Waqt Beeja Tha3.50 - 10 votes,Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,"Reena Roy, Mithun Chakraborty",Ghulami (1985),
Sama Hai Suhana Suhana Nashe Mein Jahan4.45 - 211 votes,Kishore Kumar,Kalyanji Anandji,Hasrat Jaipuri,"Bharathi, Jalal Agha, Rakesh Roshan",Ghar Ghar Ki Kahani (1971),Romantic Songs
Suno Sunata Hoon Tumhe3.67 - 3 votes,Mahendra Kapoor,Kalyanji Anandji,Rajinder Krishan,,Ghar Ghar Ki Kahani (1971),
Aise Na Dekho Kanha3.57 - 7 votes,Lata Mangeshkar,Kalyanji Anandji,Hasrat Jaipuri,,Ghar Ghar Ki Kahani (1971),
"Chuna Lagake Chhoduga, Aisa Banoonga Actor Main Yaro3.80 - 10 votes",Hemlata,Kalyanji Anandji,Qamar Jalalabadi,,Ghar Ghar Ki Kahani (1971),Masti Bhare Geet
Jai Nandlala Jai Jai Gopala4.32 - 22 votes,Lata Mangeshkar,Kalyanji Anandji,Rajinder Krishan,,Ghar Ghar Ki Kahani (1971),
Hai Guzaarish4.09 - 45 votes,"Sonu Nigam, Javed Ali",A R Rahman,,"Aamir Khan, Asin Thottumkal",Ghajini (2008),Romantic Songs
Behaka Behaka Main Behaka Behaka3.64 - 14 votes,Karthik,A R Rahman,,"Asin Thottumkal, Aamir Khan",Ghajini (2008),Romantic Songs
Latoo Latoo Latoo Main Usape Latoo3.67 - 3 votes,Shreya Ghoshal,A R Rahman,,Jiah Khan,Ghajini (2008),Rock Songs
Kaise Mujhe Tum Mil Gayi4.27 - 78 votes,"Shreya Ghoshal, Benny Dayal",A R Rahman,,"Asin Thottumkal, Aamir Khan",Ghajini (2008),"Romantic Songs, Dard Bhare Geet"
Aye Bachchu Tu Sun Le3.70 - 10 votes,Suzanne D Mello,A R Rahman,,Asin Thottumkal,Ghajini (2008),"Rock Songs, Happy Songs"
Kaise Mujhe Tum Mil Gayi (Instrumental)4.00 - 5 votes,,A R Rahman,,,Ghajini (2008),Instrumental Songs
Dhup Mein Nikalaa Na Karo Rup Ki Raani4.09 - 11 votes,"Kishore Kumar, Asha Bhosle",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Madhavi",Geraftaar (1985),Ched Chad Songs
Aana Jana Laga Rehega 14.07 - 14 votes,Bappi Lahiri,Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),Philosophical Songs
Khul Jaayega Kismat Ka Taala4.33 - 6 votes,Shabbir Kumar,Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),Disco Songs
"O Dil Se Dil Ki Pappi, Ke Meri Kismat Sawaar De4.00 - 2 votes","Asha Bhosle, Mohammed Aziz",Bappi Lahiri,Indeevar,"Kamal Haasan, Poonam Dhillon",Geraftaar (1985),"Dance Songs, Happy Songs"
Yaron Pe Kurban Hone Yaar Aaye Hai4.00 - 2 votes,"Mohammed Aziz, Kishore Kumar",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),"Friendship Songs, Title Song"
Aana Jaana Laga Rehega Dukh Jayega Sukh Aayega4.75 - 8 votes,"Bappi Lahiri, Shabbir Kumar",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),"Philosophical Songs, Friendship Songs"
Betabiyan Phir Nayi Hain4.00 - 2 votes,Yashita Sharma,Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
Bechainiyan Phir Wahi3.00 - 1 votes,Yashita Sharma,Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
Hai Junooni3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,"Kausar Munir, Sidhant Mago",,Qaidi Band (2017),
I Am India3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,Habib Faisal,,Qaidi Band (2017),
Jag Mag Jag Mag Mera Watan3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
Poshampa Bhai Poshampa3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
Ud Jaane Ki Hulchul3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
Ud Ud Ud Ja Re Bande Udanchhoo3.00 - 1 votes,"Arijit Singh, Yashita Sharma",Amit Trivedi,Kausar Munir,,Qaidi Band (2017),
I Am India (Escape Version)1.00 - 1 votes,"Amit Trivedi, Yashita Sharma",Amit Trivedi,Habib Faisal,,Qaidi Band (2017),
Sawan Jo Barse Man Mera Tarse3.00 - 4 votes,Alka Yagnik,Bappi Lahiri,Anwar Sagar,Mithun Chakraborty,Qaidi (2000),
Tere Gaal Mast Tere Baal Mast O Teri Chaal Mast4.25 - 4 votes,Sonu Nigam,Bappi Lahiri,Anwar Sagar,Mithun Chakraborty,Qaidi (2000),
Dilli Se Punjab Tak Tujhpe Sare Log Hasenge (Jugni Jugni)3.00 - 1 votes,Amit Kumar,Bappi Lahiri,Anwar Sagar,Mithun Chakraborty,Qaidi (2000),
Teri Bali Umar Pe Mar Java (Sone Da Challa)3.00 - 1 votes,"Sukhwinder Singh, Bali Brahmbhatt, Kavita Krishnamurthy",Bappi Lahiri,Anwar Sagar,Mithun Chakraborty,Qaidi (2000),
Dillhi Hila Du1.00 - 1 votes,Janvi,Bappi Lahiri,Anwar Sagar,,Qaidi (2000),
Komal Madhur Chatur Chapal Tera Hai Rang4.00 - 4 votes,"Kishore Kumar, Lata Mangeshkar",Bappi Lahiri,Indeevar,Jeetendra,Qaidi (1984),Classical Songs
Jawaani Ka Khazaana Hai4.00 - 3 votes,"Kishore Kumar, Asha Bhosle",Bappi Lahiri,Indeevar,"Jeetendra, Hema Malini",Qaidi (1984),Masti Bhare Geet
Baango Baango Baango3.50 - 8 votes,Asha Bhosle,Bappi Lahiri,Indeevar,,Qaidi (1984),Dance Songs
"Sanwali Se Hai Mujhe Pyar, Goriya Nu Dafa Karo3.25 - 4 votes","Kishore Kumar, Lata Mangeshkar",Bappi Lahiri,Indeevar,Jeetendra,Qaidi (1984),Dance Songs
"Chaandni Raat Yeh Sanam, Nahi Premiyo Ko Jannat Se Kam4.00 - 13 votes","Kishore Kumar, Asha Bhosle",Bappi Lahiri,Indeevar,Jeetendra,Qaidi (1984),Romantic Songs
Aaja Aaja Kuch Kah Ja Kuch Sun Ja4.25 - 8 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,"Hema Malini, Dharmendra",Raja Jani (1972),Romantic Songs
Duniya Ka Mela Mele Me Ladki4.04 - 24 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,"Hema Malini, Dharmendra",Raja Jani (1972),
Kitna Maza Aa Raha Hai Teere Najar Chal Rahe Hai3.97 - 34 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,"Hema Malini, Dharmendra",Raja Jani (1972),
A B C D Chhodo Naina Se Naina Jodo3.65 - 26 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,"Dharmendra, Hema Malini",Raja Jani (1972),Romantic Songs
O Jani Jani O Jani4.40 - 15 votes,Kishore Kumar,Laxmikant Pyarelal,Anand Bakshi,"Dharmendra, Hema Malini",Raja Jani (1972),
Mubarak Ho Tujhe Aye Dil3.79 - 14 votes,Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,"Hema Malini, Dharmendra",Raja Jani (1972),Sad Songs
Jaani O Jaani Jaldi Se Aa Jaa Mil Aa Ke4.00 - 9 votes,Kishore Kumar,Laxmikant Pyarelal,Anand Bakshi,"Dharmendra, Hema Malini, Johnny Walker, Prem Chopra, Prem Nath",Raja Jani (1972),
"Tu Kitni Achchhi Hai, Tu Kitni Bholi Hai4.35 - 296 votes",Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,,Raja Aur Rank (1968),Tareef Songs
Sang Basanti Ang Basanti4.68 - 22 votes,"Lata Mangeshkar, Mohammed Rafi",Laxmikant Pyarelal,Anand Bakshi,"Kumkum, Sanjeev Kumar",Raja Aur Rank (1968),"Masti Bhare Geet, Dance Songs"
O Phirkiwali Tu Kal Phir Aana4.36 - 74 votes,Mohammed Rafi,Laxmikant Pyarelal,Anand Bakshi,"Sanjeev Kumar, Kumkum",Raja Aur Rank (1968),Ched Chad Songs
"Mera Naam Hai Chameli, Main Hu Malan Albeli4.25 - 91 votes",Lata Mangeshkar,Laxmikant Pyarelal,Anand Bakshi,Kumkum,Raja Aur Rank (1968),Masti Bhare Geet
Kanhaiya O Kanhaiya4.17 - 47 votes,"Lata Mangeshkar, Manna Dey",Laxmikant Pyarelal,Anand Bakshi,"Sanjeev Kumar, Kumkum",Raja Aur Rank (1968),Religious Songs
Mere Raja Mere Lal4.55 - 11 votes,"Asha Bhosle, Usha Mangeshkar",Laxmikant Pyarelal,Anand Bakshi,,Raja Aur Rank (1968),Sad Songs
Andheri Hai Raat Sajan Rahiyo Ke Jaiyo4.00 - 2 votes,Asha Bhosle,R D Burman,Majrooh Sultanpuri,,Faisla (1988),Mujra Songs
Koyi To Aaye Re3.75 - 4 votes,Asha Bhosle,R D Burman,Majrooh Sultanpuri,Saira Banu,Faisla (1988),
Champa Khili Dar Palak Jhule Char4.56 - 9 votes,Mohammed Rafi,R D Burman,,"Vinod Mehra, Saira Banu",Faisla (1988),Romantic Songs
Dulha Raja Mera3.00 - 3 votes,"Asha Bhosle, Kishore Kumar",R D Burman,Majrooh Sultanpuri,,Faisla (1988),
"Mera Chhaila Babu Aaya, Bijali Si Kali Lahrai Ek Roshni Dil Tak Layi4.10 - 78 votes","Suman Kalyanpur, Usha Khanna",Usha Khanna,Asad Bhopali,,Faisla (1965),Masti Bhare Geet
Gori Tere Chalne Pe Mera Dil Qurbaan4.22 - 18 votes,Mukesh,Usha Khanna,Asad Bhopali,"Sheikh Mukhtar, Vijayalaxmi",Faisla (1965),"Romantic Songs, Tareef Songs"
Meri Jaan Uff Meri Jaan3.71 - 7 votes,Mohammed Rafi,Usha Khanna,Asad Bhopali,,Faisla (1965),
O Meri Jaan Bachna3.67 - 3 votes,"Chitalkar Ramchandra, Mahendra Kapoor",Usha Khanna,Asad Bhopali,,Faisla (1965),
Zulmi Sawariya Ne Has Ke Mara3.11 - 9 votes,Lata Mangeshkar,Usha Khanna,Asad Bhopali,,Faisla (1965),
Main Hoon Madam Bawri Surat Meri Sawali Sabse Hasin Sabse Juda3.00 - 4 votes,Usha Khanna,Usha Khanna,Asad Bhopali,,Faisla (1965),Masti Bhare Geet
Phoolo Ka Rang3.00 - 2 votes,Usha Khanna,Usha Khanna,Asad Bhopali,,Faisla (1965),
Sachhi Baat Kahi Thi Maine4.57 - 28 votes,Jagjit Singh,Jagjit Singh,Sabir Dutt,,Face To Face (Jagjit Singh) (1994),Ghazals
Dairo Haram Me Basne Walo4.39 - 28 votes,Jagjit Singh,Jagjit Singh,Khamosh Ghazipuri,,Face To Face (Jagjit Singh) (1994),Ghazals
Zindagi Tune Lahu Le Ke Diya4.39 - 18 votes,Jagjit Singh,Jagjit Singh,Rajesh Reddy,,Face To Face (Jagjit Singh) (1994),Ghazals
Pyaar Kaa Pehla Khat Likhne Me4.08 - 13 votes,Jagjit Singh,Jagjit Singh,Hasti Mal Hasti,,Face To Face (Jagjit Singh) (1994),
Jita Rahne Ki Saza De Zindagi Ae Zindagi4.67 - 6 votes,Jagjit Singh,Jagjit Singh,Zaqa Siddiqi,,Face To Face (Jagjit Singh) (1994),Ghazals
Sheikh Ji Thodi Si Pikar Aaiye4.50 - 6 votes,Jagjit Singh,Jagjit Singh,Sudarshan Faakir,,Face To Face (Jagjit Singh) (1994),Ghazals
Koi Mausam Aisa Aaye4.33 - 3 votes,Jagjit Singh,Jagjit Singh,,,Face To Face (Jagjit Singh) (1994),Ghazals
Pyar Ka Pahala Khat Likhne Me4.29 - 7 votes,Jagjit Singh,,,,Face To Face (Jagjit Singh) (1994),Ghazals
Tum Ne Badle Hamse4.00 - 5 votes,Jagjit Singh,Jagjit Singh,"Ameer Meenai, Daagh Dehlvi",,Face To Face (Jagjit Singh) (1994),Ghazals
Be Sabab Baat Badhane Ki Zarurat Ki Hai4.46 - 26 votes,Jagjit Singh,Jagjit Singh,Shahid Kabir,,Face To Face (Jagjit Singh) (1994),Ghazals
Koi Jaye To Le Aaye Meri Lakh Duaye Paye4.27 - 44 votes,"Anu Malik, Shankar Mahadevan, Alka Yagnik",R D Burman,Rahat Indori,Mamta Kulkarni,Ghatak (1996),Rock Songs
Nigaho Ne Chheda Hai Dil Ka Tarana4.22 - 18 votes,"Suresh Wadkar, Sadhana Sargam",R D Burman,Majrooh Sultanpuri,"Sunny Deol, Meenakshi Seshadri",Ghatak (1996),Romantic Songs
Badan Mein Chandni Ada Mein Ragini4.83 - 6 votes,Kavita Krishnamurthy,R D Burman,Majrooh Sultanpuri,Meenakshi Seshadri,Ghatak (1996),Dance Songs
Aaki Naaki4.33 - 3 votes,Asha Bhosle,R D Burman,Majrooh Sultanpuri,,Ghatak (1996),
Ek Dil Ki Deewani Aur Diwana Dil3.33 - 3 votes,"Sadhana Sargam, Suresh Wadkar",R D Burman,Majrooh Sultanpuri,,Ghatak (1996),Romantic Songs
Ghatak Theme1.00 - 1 votes,,R D Burman,Majrooh Sultanpuri,,Ghatak (1996),Instrumental Songs
Faasle Hain Bahut4.43 - 7 votes,Asha Bhosle,Shiv Hari,Shahryar,"Sunil Dutt, Rekha",Faasle (1985),Romantic Songs
Yeh Qafile Yado Ke4.33 - 3 votes,Asha Bhosle,Shiv Hari,Shahryar,,Faasle (1985),Sad Songs
Hum Choop Hai Ki Dil Sun Rahe Hai4.00 - 6 votes,"Lata Mangeshkar, Kishore Kumar",Shiv Hari,Shahryar,,Faasle (1985),
Yu Toh Milane Ko Ham Mile Hain Bahot3.67 - 3 votes,Asha Bhosle,Shiv Hari,Shahryar,,Faasle (1985),
Janam Janam Mere Sanam Badan Mera Bandha Rahe3.63 - 8 votes,"Kishore Kumar, Lata Mangeshkar",Shiv Hari,Shahryar,,Faasle (1985),Romantic Songs
Sun Le Ye Saara Zamana3.00 - 5 votes,Lata Mangeshkar,Shiv Hari,Shahryar,"Rekha, Farha, Rohan Kapoor",Faasle (1985),
"Chandni Tu Hai Kahan, Maine Tere Liye Kya Kya Sapne Bune3.00 - 4 votes","Kishore Kumar, Lata Mangeshkar",Shiv Hari,Shahryar,,Faasle (1985),Sad Songs
Mora Banna Dulhan Leke Aaya Ke Gaye Mil3.00 - 1 votes,"Pamela Chopra, Shobha Gurtu",Shiv Hari,Shahryar,,Faasle (1985),Vidai (Doli) Songs
In Aankhon Ke Zeenon Se4.00 - 7 votes,"Kishore Kumar, Lata Mangeshkar",Shiv Hari,Shahryar,,Faasle (1985),
Hum Chup Hai (Sad)3.00 - 1 votes,Lata Mangeshkar,Shiv Hari,Shahryar,"Farha, Rohan Kapoor",Faasle (1985),Sad Songs
Aayi Hai Aaj To Holi Khelenge Jhoom4.67 - 3 votes,"Asha Bhosle, Amit Kumar",Nadeem Shravan,Anjaan,Madhuri Dixit,Ilaaka (1989),Holi Songs
Kal Se Chhod Dunga Mai Sharab4.22 - 9 votes,Mithun Chakraborty,Nadeem Shravan,Anjaan,,Ilaaka (1989),Sharabi Songs
Pyar Se Bhi Zyada Tujhe Pyar Karta Hu4.03 - 124 votes,"Mohammed Aziz, Asha Bhosle",Nadeem Shravan,Sameer,"Mithun Chakraborty, Madhuri Dixit",Ilaaka (1989),Romantic Songs
Deva Ho Deva Gali Gali Me Tere Naam Ka Shor4.19 - 54 votes,"Asha Bhosle, Kishore Kumar",Nadeem Shravan,Anjaan,Madhuri Dixit,Ilaaka (1989),Religious Songs
"Khali Bottle Ki Tarah, Aadmi Hai Khali3.25 - 12 votes","Kishore Kumar, Asha Bhosle",Nadeem Shravan,Anwar Sagar,"Mithun Chakraborty, Madhuri Dixit",Ilaaka (1989),Sharabi Songs
Mera Kuchh Saaman Tumhare Pas Pada Hai4.46 - 82 votes,Asha Bhosle,R D Burman,Gulzar,"Anuradha Patel, Naseeruddin Shah",Ijaazat (1988),"Filmfare Awards Winner, Sad Songs, Filmfare Awards Nominee"
Khaali Haath Shaam Aayi Hai4.23 - 22 votes,Asha Bhosle,R D Burman,Gulzar,"Rekha, Naseeruddin Shah, Anuradha Patel",Ijaazat (1988),Sad Songs
Chhoti Si Kahani Se4.26 - 19 votes,Asha Bhosle,R D Burman,Gulzar,,Ijaazat (1988),
Katra Katra Milti Hai4.21 - 34 votes,Asha Bhosle,R D Burman,Gulzar,"Naseruddin Shah, Rekha",Ijaazat (1988),
Ek Rasgulla Kahi Fat Gaya Re Re Baba Re3.84 - 31 votes,"Amit Kumar, Alka Yagnik",Laxmikant Pyarelal,Anand Bakshi,"Govinda, Madhuri Dixit",Izzatdaar (1990),Funny Songs
Yaad Rakhiyo Yeh Chaar Akshar Pyaar Ke3.42 - 24 votes,"Mohammed Aziz, Alka Yagnik",Laxmikant Pyarelal,Anand Bakshi,"Govinda, Madhuri Dixit",Izzatdaar (1990),Romantic Songs
"Tumko Dekh Ke Jhum Gaya, Main Tumpe Lattu Ho Gaya4.33 - 15 votes","Alka Yagnik, Amit Kumar",Laxmikant Pyarelal,Anand Bakshi,"Govinda, Madhuri Dixit",Izzatdaar (1990),Dance Songs
Dulhan Bani Meri Bitiya Rani4.00 - 2 votes,"Mohammed Aziz, Sudesh Bhosle",Laxmikant Pyarelal,Anand Bakshi,Dilip Kumar,Izzatdaar (1990),Marriage Songs
Kis Kis Ko Main Kiss Karu3.50 - 2 votes,"Amit Kumar, Alka Yagnik",Laxmikant Pyarelal,Anand Bakshi,,Izzatdaar (1990),
Tirchi Topiwale1.00 - 1 votes,"Sapna Mukherjee, Amit Kumar",Laxmikant Pyarelal,Anand Bakshi,,Izzatdaar (1990),
Tera Naam Lu4.28 - 165 votes,"Atif Aslam, Shalmali Kholgade",Sachin Jigar,Mayur Puri,"Tamannaah Bhatia, Akshay Kumar",It's Entertainment (2014),Romantic Songs
Johnny Johnny Haan Ji4.27 - 297 votes,"Jigar Saraiya, Priya Panchal, Madhav Krishna",Sachin Jigar,Mayur Puri,Akshay Kumar,It's Entertainment (2014),
Veere Di Wedding4.48 - 86 votes,Mika Singh,Sachin Jigar,Mayur Puri,Akshay Kumar,It's Entertainment (2014),"Marriage Songs, Masti Bhare Geet"
Nahi Wo Saamne4.33 - 43 votes,Atif Aslam,Sachin Jigar,Mayur Puri,,It's Entertainment (2014),
Teri Mahimaa Aprampaar3.79 - 29 votes,"Ashish Pandit, Udit Narayan, Anushka Manchanda",Sachin Jigar,Mayur Puri,,It's Entertainment (2014),
Veerey Di Wedding (Remix)4.00 - 49 votes,Mika Singh,Sachin Jigar,Mayur Puri,,It's Entertainment (2014),Remix Songs
"Teraa Hijr Meraa Nasib Hai, Teraa Gam Hi Meri Hayaat Hai4.56 - 39 votes",Kabban Mirza,Khayyam,Nida Fazli,"Hema Malini, Dharmendra",Razia Sultan (1983),Sad Songs
Jalataa Hai Badan4.29 - 55 votes,Lata Mangeshkar,Khayyam,Kaifi Azmi,,Razia Sultan (1983),Dance Songs
Aye Khuda Shukr Tera4.22 - 27 votes,"Bhupinder Singh, Mahendra Kapoor",Khayyam,Kaif Bhopali,,Razia Sultan (1983),
Hariyala Banna Aaya Re3.83 - 6 votes,"Jagjit Kaur, Asha Bhosle",Khayyam,Nida Fazli,"Hema Malini, Dharmendra",Razia Sultan (1983),Marriage Songs
Aai Zanjir Ki Jhanakaar Kudaa Kair Kare4.23 - 44 votes,Kabban Mirza,Khayyam,Jan Nisar Akhtar,"Ajit, Dharmendra, Hema Malini, Parveen Babi, Pradeep Kumar",Razia Sultan (1983),"Romantic Songs, Intezaar"
Khwaab Ban Kar Koi Aayega4.53 - 15 votes,Lata Mangeshkar,Khayyam,Jan Nisar Akhtar,"Parveen Babi, Hema Malini",Razia Sultan (1983),Romantic Songs
Aye Dil-E-Nadan4.39 - 283 votes,Lata Mangeshkar,Khayyam,Jan Nisar Akhtar,Hema Malini,Razia Sultan (1983),"Romantic Songs, Intezaar"
Aa Laut Ke Aajaa Mere Mit4.32 - 108 votes,"Mukesh, Lata Mangeshkar",S N Tripathi,Bharat Vyas,"Bharat Bhushan, Nirupa Roy",Rani Roopmati (1957),Romantic Songs
Jhananan Baaje Paayaliyaa3.88 - 17 votes,"Lata Mangeshkar, Mohammed Rafi",S N Tripathi,Bharat Vyas,"Ameeta, Helen, Achala Sachdev, Leela Mishra, Bharat Bhushan, Tun Tun, Jeevan",Rani Roopmati (1957),
Itihaas Agar Likhna Chaho3.20 - 5 votes,Usha Mangeshkar,S N Tripathi,Bharat Vyas,Nirupa Roy,Rani Roopmati (1957),Patriotic Songs
Baat Chalat Nayi Chunari Rang Daari4.54 - 26 votes,Mohammed Rafi,S N Tripathi,Bharat Vyas,,Rani Roopmati (1957),
Phulabagiyaa Men Bulabul Bole Daal Pe Bole Koyaliyaa4.43 - 30 votes,"Lata Mangeshkar, Mohammed Rafi",S N Tripathi,Bharat Vyas,"Achala Sachdev, Ameeta, Bharat Bhushan, Helen, Jeevan, Leela Mishra, Tun Tun",Rani Roopmati (1957),
Ud Jaa Bhanwar Maayaa Kamal Kaa Aaj Bandhan Tod Ke4.40 - 15 votes,Manna Dey,S N Tripathi,Bharat Vyas,"Achala Sachdev, Ameeta, Bharat Bhushan, Helen, Jeevan, Leela Mishra, Tun Tun",Rani Roopmati (1957),
Aaja Aaja Bhanwar4.40 - 10 votes,Lata Mangeshkar,S N Tripathi,Bharat Vyas,Nirupa Roy,Rani Roopmati (1957),Sad Songs
Jeevan Ki Bina Ka Taar Bole4.36 - 14 votes,Lata Mangeshkar,S N Tripathi,Bharat Vyas,Nirupa Roy,Rani Roopmati (1957),Masti Bhare Geet
Raat Suhaani Jhoome Jawani3.94 - 18 votes,Lata Mangeshkar,S N Tripathi,Bharat Vyas,,Rani Roopmati (1957),
Ankho Me Surma Daal Ke (2)3.60 - 5 votes,Usha Mangeshkar,S N Tripathi,Bharat Vyas,,Rani Roopmati (1957),
Aa Laut Ke Aaja Mere Meet4.52 - 413 votes,Mukesh,S N Tripathi,Bharat Vyas,"Nirupa Roy, Bharat Bhushan",Rani Roopmati (1957),"Intezaar, Sad Songs"
Tujhe Na Dekhu To Chain Mujhe Aata Nahi Hai4.24 - 192 votes,"Alka Yagnik, Kumar Sanu",Nadeem Shravan,Sameer,"Divya Bharti, Kamal Sadanah",Rang (1993),Romantic Songs
Har Sawal Ka Jawab4.27 - 37 votes,"Kumar Sanu, Alka Yagnik",Nadeem Shravan,Sameer,Ayesha Jhulka,Rang (1993),Romantic Songs
Teri Mohabbat Ne Dil Me Makam Kar Diya4.17 - 72 votes,"Alka Yagnik, Kumar Sanu",Nadeem Shravan,Sameer,"Amrita Singh, Jeetendra",Rang (1993),Romantic Songs
Dil Chir Ke Dekh4.13 - 30 votes,Kumar Sanu,Nadeem Shravan,Sameer,"Divya Bharti, Kamal Sadanah",Rang (1993),Romantic Songs
Hum Tum Picture Dekh Rahe Ho4.00 - 23 votes,"Udit Narayan, Alka Yagnik",Nadeem Shravan,Sameer,"Divya Bharti, Kamal Sadanah",Rang (1993),Romantic Songs
Tumhe Dekhe Meri Aankhe Isme3.75 - 52 votes,"Alka Yagnik, Kumar Sanu",Nadeem Shravan,Sameer,"Divya Bharti, Kamal Sadanah",Rang (1993),Romantic Songs
Kahi Mujhe Pyar Hua To Nahi Hai4.07 - 15 votes,"Alka Yagnik, Kumar Sanu",Nadeem Shravan,Sameer,"Divya Bharti, Kamal Sadanah",Rang (1993),Romantic Songs
Yaad Sajan De Aayee4.50 - 2 votes,Hadiqa Kiyani,,,,Rang (1993),
Dil Cheer Ke Dekh (Female)4.33 - 6 votes,Alka Yagnik,Nadeem Shravan,Sameer,,Rang (1993),
Iss Baar Milo Toh Bataana2.50 - 2 votes,Hadiqa Kiyani,,,,Rang (1993),
Ishk Naa Puchey Jat Naa Vekhe3.00 - 1 votes,Hadiqa Kiyani,,,,Rang (1993),
Tu Mane Yaa Naa Mane4.67 - 3 votes,Wadali Brothers,,,,Farid (2005),Qawwalis
Dum Dum Karo Farid3.00 - 1 votes,Wadali Brothers,,,,Farid (2005),Qawwalis
Tureya Tureya Jaa3.00 - 1 votes,Wadali Brothers,,,,Farid (2005),Qawwalis
Tum Idhar Dekho1.00 - 1 votes,Wadali Brothers,,,,Farid (2005),Qawwalis
Tanha Tanha Yaha Pe Jina Ye Koi Baat Hai4.24 - 25 votes,Asha Bhosle,A R Rahman,Mehboob,"Aamir Khan, Jackie Shroff, Urmila Matondkar",Rangeela (1995),"Romantic Songs, Filmfare Awards Nominee"
Hai Rama Ye Kya Hua4.21 - 28 votes,"Swarnalatha, Hariharan",A R Rahman,Mehboob Kotwal,"Jackie Shroff, Urmila Matondkar",Rangeela (1995),Romantic Songs
Yaai Re Yaai Re Zor Laga Ke Nache Re3.95 - 20 votes,"Aditya Narayan, Asha Bhosle",A R Rahman,Mehboob,"Urmila Matondkar, Aamir Khan",Rangeela (1995),"Rock Songs, Masti Bhare Geet"
